note,time,duration
55,61440,664
50,61440,662
59,61440,539
57,62030,183
59,62208,317
55,62208,593
50,62208,596
57,62500,280
59,62773,142
59,62976,563
54,62976,677
51,62976,692
57,63561,192
54,63744,578
51,63745,582
59,63748,282
57,64039,274
59,64305,122
55,64512,627
52,64512,637
60,64513,580
59,65097,187
60,65280,305
52,65280,581
55,65280,612
59,65579,275
60,65847,81
60,66048,507
55,66048,622
51,66048,642
57,66621,86
60,66816,237
55,66816,174
51,66816,200
50,67118,219
59,67127,227
55,67395,134
51,67398,182
60,67402,173
55,67632,793
50,67632,798
59,67640,798
