note,time,duration
48,3264,96
48,3408,32
48,3456,128
48,3648,96
48,3792,32
48,3840,128
48,4032,96
48,4176,32
48,4224,128
48,4416,96
48,4560,32
48,4608,128
48,4800,96
48,4944,32
48,4992,128
48,5184,96
48,5328,32
48,5376,128
48,5568,96
48,5712,32
48,5760,128
48,5952,96
48,6096,32
48,6144,128
36,6480,32
36,6528,128
36,6864,32
36,6912,128
36,7296,32
36,7344,128
36,7632,32
36,7680,128
36,8016,32
36,8064,128
41,8400,32
41,8448,128
43,8832,64
43,8928,192
36,9360,32
36,9408,32
36,9456,32
43,9504,32
48,9552,16
43,9576,16
