note,time,duration
32,42240,172
32,42480,172
32,42720,172
32,42960,172
32,43200,172
32,43440,172
32,43680,172
32,43920,172
34,44160,172
34,44400,172
34,44640,172
34,44880,172
34,45120,172
34,45360,172
34,45600,172
34,45840,172
29,46080,172
29,46320,172
29,46560,172
29,46800,172
29,47040,172
29,47280,172
29,47520,172
29,47760,172
37,48000,172
37,48240,172
37,48480,172
37,48720,172
37,48960,172
37,49200,172
37,49440,172
37,49680,172
32,49920,172
32,50160,172
32,50400,172
32,50640,172
32,50880,172
32,51120,172
32,51360,172
32,51600,172
34,51840,172
34,52080,172
34,52320,172
34,52560,172
34,52800,172
34,53040,172
34,53280,172
34,53520,172
29,53760,172
29,54000,172
29,54240,172
29,54480,172
29,54720,172
29,54960,172
29,55200,172
29,55440,172
37,55680,172
37,55920,172
37,56160,172
37,56400,172
37,56640,172
37,56880,172
37,57120,172
37,57360,172
32,57600,172
32,57840,172
32,58080,172
32,58320,172
32,58560,172
32,58800,172
32,59040,172
32,59280,172
34,59520,172
34,59760,172
34,60000,172
34,60240,172
34,60480,172
34,60720,172
34,60960,172
34,61200,172
29,61440,172
29,61680,172
29,61920,172
29,62160,172
29,62400,172
29,62640,172
29,62880,172
29,63120,172
37,63360,172
37,63600,172
37,63840,172
37,64080,172
37,64320,172
37,64560,172
37,64800,172
37,65040,172
32,65280,172
32,65520,172
32,65760,172
32,66000,172
32,66240,172
32,66480,172
32,66720,172
32,66960,172
34,67200,172
34,67440,172
34,67680,172
34,67920,172
34,68160,172
34,68400,172
34,68640,172
34,68880,172
29,69120,172
29,69360,172
29,69600,172
29,69840,172
29,70080,172
29,70320,172
29,70560,172
29,70800,172
37,71040,172
37,71280,172
37,71520,172
37,71760,172
37,72000,172
37,72240,172
37,72480,172
37,72720,172
32,73200,261
32,73680,261
32,74160,261
32,74640,261
34,75120,261
34,75600,261
34,76080,261
34,76560,261
29,77040,261
29,77520,261
29,78000,261
29,78480,261
37,78960,261
37,79440,261
37,79920,261
37,80400,261
32,80880,261
32,81360,261
32,81840,261
32,82320,261
34,82800,261
34,83280,261
34,83760,261
34,84240,261
29,84720,261
29,85200,261
29,85680,261
29,86160,261
37,86640,261
37,87120,261
37,87600,261
37,88080,261
32,103680,223
32,103920,223
32,104160,223
32,104400,223
32,104640,223
32,104880,223
32,105120,223
32,105360,223
34,105600,223
34,105840,223
34,106080,223
