note,time,duration
63,3840,234
63,4080,234
63,4320,234
63,4560,234
63,4800,234
63,5040,234
63,5280,234
63,5520,234
61,5760,234
65,5760,234
61,6000,234
65,6000,234
61,6240,234
65,6240,234
61,6480,234
65,6480,234
61,6720,234
65,6720,234
61,6960,234
65,6960,234
61,7200,234
65,7200,234
61,7440,234
65,7440,234
60,7680,234
67,7680,234
60,7920,234
67,7920,234
60,8160,234
67,8160,234
60,8400,234
67,8400,234
60,8640,234
67,8640,234
60,8880,234
67,8880,234
60,9120,234
67,9120,234
60,9360,234
67,9360,234
56,9600,234
63,9600,234
56,9840,234
63,9840,234
56,10080,234
63,10080,234
56,10320,234
63,10320,234
56,10560,234
63,10560,234
56,10800,234
63,10800,234
56,11040,234
63,11040,234
65,11280,234
63,11520,234
63,11760,234
63,12000,234
63,12240,234
63,12480,234
63,12720,234
63,12960,234
63,13200,234
61,13440,234
65,13440,234
61,13680,234
65,13680,234
61,13920,234
65,13920,234
61,14160,234
65,14160,234
61,14400,234
65,14400,234
61,14640,234
65,14640,234
61,14880,234
65,14880,234
61,15120,234
65,15120,234
60,15360,234
67,15360,234
60,15600,234
67,15600,234
60,15840,234
67,15840,234
60,16080,234
67,16080,234
60,16320,234
67,16320,234
60,16560,234
67,16560,234
60,16800,234
67,16800,234
60,17040,234
67,17040,234
56,17280,234
63,17280,234
56,17520,234
63,17520,234
56,17760,234
63,17760,234
56,18000,234
63,18000,234
56,18240,234
63,18240,234
56,18480,234
63,18480,234
56,18720,234
63,18720,234
65,18960,234
63,19200,234
63,19440,234
63,19680,234
63,19920,234
63,20160,234
63,20400,234
63,20640,234
63,20880,234
61,21120,234
65,21120,234
61,21360,234
65,21360,234
61,21600,234
65,21600,234
61,21840,234
65,21840,234
61,22080,234
65,22080,234
61,22320,234
65,22320,234
61,22560,234
65,22560,234
61,22800,234
65,22800,234
60,23040,234
67,23040,234
60,23280,234
67,23280,234
60,23520,234
67,23520,234
60,23760,234
67,23760,234
60,24000,234
67,24000,234
60,24240,234
67,24240,234
60,24480,234
67,24480,234
60,24720,234
67,24720,234
56,24960,234
63,24960,234
56,25200,234
63,25200,234
56,25440,234
63,25440,234
56,25680,234
63,25680,234
56,25920,234
63,25920,234
56,26160,234
63,26160,234
56,26400,234
63,26400,234
65,26640,234
63,26880,234
63,27120,234
63,27360,234
63,27600,234
63,27840,234
63,28080,234
63,28320,234
63,28560,234
61,28800,234
65,28800,234
61,29040,234
65,29040,234
61,29280,234
65,29280,234
61,29520,234
65,29520,234
61,29760,234
65,29760,234
61,30000,234
65,30000,234
61,30240,234
65,30240,234
61,30480,234
65,30480,234
60,30720,234
67,30720,234
60,30960,234
67,30960,234
60,31200,234
67,31200,234
60,31440,234
67,31440,234
60,31680,234
67,31680,234
60,31920,234
67,31920,234
60,32160,234
67,32160,234
60,32400,234
67,32400,234
56,32640,234
63,32640,234
56,32880,234
63,32880,234
56,33120,234
63,33120,234
56,33360,234
63,33360,234
56,33600,234
63,33600,234
56,33840,234
63,33840,234
56,34080,234
63,34080,234
65,34320,234
63,34560,234
63,34800,234
63,35040,234
63,35280,234
63,35520,234
63,35760,234
63,36000,234
63,36240,234
61,36480,234
65,36480,234
61,36720,234
65,36720,234
61,36960,234
65,36960,234
61,37200,234
65,37200,234
61,37440,234
65,37440,234
61,37680,234
65,37680,234
61,37920,234
65,37920,234
61,38160,234
65,38160,234
60,38400,234
67,38400,234
60,38640,234
67,38640,234
60,38880,234
67,38880,234
60,39120,234
67,39120,234
60,39360,234
67,39360,234
60,39600,234
67,39600,234
60,39840,234
67,39840,234
60,40080,234
67,40080,234
56,40320,234
63,40320,234
56,40560,234
63,40560,234
56,40800,234
63,40800,234
56,41040,234
63,41040,234
56,41280,234
63,41280,234
56,41520,234
63,41520,234
56,41760,234
63,41760,234
65,42000,234
63,88320,234
63,88560,234
63,88800,234
63,89040,234
63,89280,234
63,89520,234
63,89760,234
63,90000,234
