note,time,duration
60,3840,224
63,3840,224
68,3840,224
60,4080,224
63,4080,224
68,4080,224
60,4320,224
63,4320,224
68,4320,224
60,4560,224
63,4560,224
68,4560,224
60,4800,224
63,4800,224
68,4800,224
60,5040,224
63,5040,224
68,5040,224
60,5280,224
63,5280,224
68,5280,224
60,5520,224
63,5520,224
68,5520,224
58,5760,224
61,5760,224
66,5760,224
58,6000,224
61,6000,224
66,6000,224
58,6240,224
61,6240,224
66,6240,224
58,6480,224
61,6480,224
66,6480,224
58,6720,224
61,6720,224
66,6720,224
58,6960,224
61,6960,224
66,6960,224
58,7200,224
61,7200,224
66,7200,224
58,7440,224
61,7440,224
66,7440,224
56,7680,224
60,7680,224
63,7680,224
65,7680,224
56,7920,224
60,7920,224
63,7920,224
65,7920,224
56,8160,224
60,8160,224
63,8160,224
65,8160,224
56,8400,224
60,8400,224
63,8400,224
65,8400,224
56,8640,224
60,8640,224
63,8640,224
65,8640,224
56,8880,224
60,8880,224
63,8880,224
65,8880,224
56,9120,224
60,9120,224
63,9120,224
65,9120,224
56,9360,224
60,9360,224
63,9360,224
65,9360,224
56,9600,224
61,9600,224
63,9600,224
56,9840,224
61,9840,224
63,9840,224
56,10080,224
61,10080,224
63,10080,224
56,10320,224
61,10320,224
63,10320,224
56,10560,224
61,10560,224
63,10560,224
56,10800,224
61,10800,224
63,10800,224
56,11040,224
61,11040,224
63,11040,224
56,11280,224
61,11280,224
63,11280,224
60,11520,224
63,11520,224
68,11520,224
60,11760,224
63,11760,224
68,11760,224
60,12000,224
63,12000,224
68,12000,224
60,12240,224
63,12240,224
68,12240,224
60,12480,224
63,12480,224
68,12480,224
60,12720,224
63,12720,224
68,12720,224
60,12960,224
63,12960,224
68,12960,224
60,13200,224
63,13200,224
68,13200,224
58,13440,224
61,13440,224
66,13440,224
58,13680,224
61,13680,224
66,13680,224
58,13920,224
61,13920,224
66,13920,224
58,14160,224
61,14160,224
66,14160,224
58,14400,224
61,14400,224
66,14400,224
58,14640,224
61,14640,224
66,14640,224
58,14880,224
61,14880,224
66,14880,224
58,15120,224
61,15120,224
66,15120,224
56,15360,224
60,15360,224
63,15360,224
65,15360,224
56,15600,224
60,15600,224
63,15600,224
65,15600,224
56,15840,224
60,15840,224
63,15840,224
65,15840,224
56,16080,224
60,16080,224
63,16080,224
65,16080,224
56,16320,224
60,16320,224
63,16320,224
65,16320,224
56,16560,224
60,16560,224
63,16560,224
65,16560,224
56,16800,224
60,16800,224
63,16800,224
65,16800,224
56,17040,224
60,17040,224
63,17040,224
65,17040,224
56,17280,224
61,17280,224
63,17280,224
56,17520,224
61,17520,224
