note,time,duration
36,1536,40
38,1920,76
36,2304,60
38,2688,108
36,3072,48
38,3456,88
36,3840,52
36,4032,56
38,4224,84
36,4608,64
38,4992,328
36,5376,48
36,5568,56
38,5760,400
36,6144,48
38,6528,584
36,6912,36
36,7104,64
38,7296,632
36,7680,44
38,8064,588
36,8448,32
36,8640,52
38,8832,68
36,9216,36
38,9600,92
36,9984,36
36,10176,32
38,10368,460
36,10752,52
38,11136,620
36,11520,24
36,11712,56
38,11904,636
36,12288,32
38,12672,404
36,13056,28
36,13248,52
38,13440,620
36,13824,36
36,14016,28
38,14208,632
36,14592,36
38,14976,644
36,15168,28
36,15360,48
38,15744,608
36,16128,24
36,16320,40
38,16512,648
36,16896,24
38,17280,616
36,17472,32
36,17664,32
36,17856,32
38,18048,592
36,18432,28
36,18624,32
38,18816,600
36,19200,28
36,19392,40
38,19584,620
36,19968,48
38,20352,600
36,20736,36
36,20928,48
38,21120,632
36,21504,36
38,21888,600
36,22272,32
36,22464,40
38,22656,648
36,23040,44
38,23424,628
36,23616,36
36,23808,52
36,24000,56
38,24192,628
36,24576,48
38,24960,628
36,25152,24
36,25344,28
36,25536,40
38,25728,616
36,26112,44
38,26496,596
36,26880,32
36,27072,36
38,27264,636
36,27648,48
38,28032,612
36,28416,28
36,28608,40
38,28800,676
36,29184,568
38,29568,628
36,29952,600
38,30336,232
38,30720,160
36,30720,156
38,31104,216
36,31104,200
38,31488,204
36,31488,196
38,31872,120
36,31872,172
38,32064,44
38,32160,64
36,32256,56
36,32448,40
38,32640,584
36,33024,52
36,33216,60
38,33408,612
36,33600,32
36,33792,36
36,33984,68
38,34176,616
36,34560,36
36,34752,212
38,34944,612
36,35136,32
36,35328,32
36,35520,40
38,35712,620
36,36096,28
36,36288,196
38,36480,400
36,36864,52
36,37056,420
38,37248,636
36,37632,28
36,37824,252
38,38016,604
36,38400,32
36,38592,36
38,38784,476
36,38784,240
36,39168,48
36,39360,48
38,39552,576
36,39552,228
36,39936,48
36,40128,216
38,40320,52
38,40416,68
38,40608,64
36,40704,52
36,40896,40
38,41088,104
36,41088,68
36,41472,64
38,41856,328
36,42240,48
36,42432,56
38,42624,400
36,43008,48
38,43392,584
36,43776,36
36,43968,64
38,44160,632
36,44544,44
38,44928,588
36,45312,32
36,45504,52
38,45696,68
36,46080,36
38,46464,92
36,46848,36
36,47040,32
38,47232,460
36,47616,52
38,48000,620
36,48384,24
36,48576,56
38,48768,636
36,49152,32
38,49536,404
36,49920,28
36,50112,52
38,50304,620
36,50688,36
36,50880,28
38,51072,632
36,51456,36
38,51840,644
36,52032,28
36,52224,48
38,52608,608
36,52992,24
36,53184,40
38,53376,648
36,53760,24
38,54144,616
36,54336,32
36,54528,32
36,54720,32
38,54912,592
36,55296,28
36,55488,32
38,55680,600
36,56064,28
36,56256,40
38,56448,620
36,56832,48
38,57216,600
36,57600,36
36,57792,48
38,57984,632
36,58368,36
38,58752,600
36,59136,32
36,59328,40
38,59520,648
36,59904,44
38,60288,628
36,60480,36
36,60672,52
36,60864,56
38,61056,628
36,61440,48
38,61824,628
36,62016,24
36,62208,28
36,62400,40
38,62592,616
36,62976,44
38,63360,596
36,63744,32
36,63936,36
38,64128,636
36,64512,48
38,64896,612
36,65280,28
36,65472,40
38,65664,676
36,66048,568
38,66432,628
36,66816,600
38,67200,232
38,67584,160
36,67584,156
38,67968,216
36,67968,200
38,68352,204
36,68352,196
38,68736,120
36,68736,172
38,68928,44
38,69024,64
36,69120,56
36,69312,40
38,69504,584
36,69888,52
36,70080,60
38,70272,612
36,70464,32
36,70656,36
36,70848,68
38,71040,616
36,71424,36
36,71616,212
38,71808,612
36,72000,32
36,72192,32
36,72384,40
38,72576,620
36,72960,28
36,73152,196
38,73344,400
36,73728,52
36,73920,420
38,74112,636
36,74496,28
36,74688,252
38,74880,604
36,75264,32
36,75456,36
38,75648,476
36,75648,240
36,76032,48
36,76224,48
38,76416,576
36,76416,228
36,76800,48
36,76992,216
38,77184,52
38,77280,68
38,77472,64
36,77568,52
36,77760,40
38,77952,104
36,77952,68
