note,time,duration
52,1536,104
56,1728,132
59,1824,296
56,2112,96
59,2208,52
52,2304,64
56,2496,100
59,2592,60
53,2784,100
56,2880,100
59,2976,84
52,3072,124
56,3264,92
59,3360,60
56,3648,48
52,3840,124
56,4032,92
59,4128,64
53,4320,92
56,4416,116
59,4512,84
52,4608,116
56,4800,92
59,4896,76
56,5184,60
52,5376,84
56,5568,88
59,5664,44
53,5856,108
56,5952,92
59,6048,68
52,6144,184
56,6336,96
59,6432,76
56,6720,52
52,6912,92
56,7104,92
59,7200,48
53,7392,108
56,7488,112
59,7584,68
57,7872,100
60,7968,72
52,8064,72
57,8256,36
60,8256,36
57,8640,92
60,8736,56
52,8832,88
57,8928,104
60,9024,104
57,9120,64
52,9216,64
56,9408,104
59,9504,68
53,9792,92
57,9888,72
52,9984,236
56,10176,84
59,10272,68
56,10368,196
52,10560,108
52,10752,88
56,10944,88
59,11040,60
56,11328,60
52,11520,92
56,11712,88
59,11808,48
53,12000,116
56,12096,92
59,12192,72
52,12288,92
59,12480,64
56,12864,96
59,12960,60
52,13056,100
56,13248,84
59,13344,52
53,13536,100
56,13632,92
59,13728,64
57,14016,92
60,14112,64
52,14208,88
60,14400,60
57,14784,88
60,14880,76
52,14976,92
57,15072,112
60,15168,120
52,15360,80
56,15552,108
59,15648,76
53,15936,88
57,16032,48
52,16128,624
56,16320,148
59,16512,216
56,16704,160
52,16896,64
56,17088,96
59,17184,56
56,17472,60
52,17664,60
56,17856,92
59,17952,60
53,18144,100
56,18240,92
59,18336,60
57,18624,60
53,19008,76
57,19104,40
57,19392,48
53,19680,80
57,19776,68
57,19872,132
53,20160,40
53,20448,52
57,20544,104
53,20640,80
53,20928,68
53,21216,80
57,21312,72
52,21504,244
56,21696,88
59,21792,60
53,22080,104
57,22176,52
52,22272,208
56,22464,232
64,22656,152
59,22848,96
56,22944,80
52,23040,92
56,23232,92
59,23328,48
56,23616,56
52,23808,72
56,24000,92
59,24096,56
52,24288,80
53,24384,96
56,24480,68
53,24768,68
53,25152,104
57,25248,60
57,25536,36
53,25536,36
53,25824,96
57,25920,112
53,26016,48
57,26304,84
53,26400,72
53,26688,56
53,27072,84
57,27168,48
53,27456,68
52,27648,276
56,27840,88
59,27936,48
53,28224,100
57,28320,48
52,28416,772
56,28608,156
59,28800,196
56,28992,120
57,29376,476
60,29568,272
64,29760,112
57,30144,400
60,30336,208
64,30528,76
64,30720,216
60,30912,184
62,31104,224
57,31296,196
64,31488,268
57,31680,204
62,31872,204
57,32064,112
57,32448,88
60,32544,64
52,32640,60
57,32832,60
57,33216,96
60,33312,56
52,33408,56
57,33600,64
57,33984,112
60,34080,68
52,34176,168
57,34368,60
57,34752,104
60,34848,56
52,34944,352
57,35136,76
50,35328,64
53,35424,64
57,35520,68
57,35712,56
62,35712,68
52,36096,88
56,36288,48
59,36288,56
56,36480,72
59,36480,92
56,36672,72
59,36672,72
53,36960,60
57,37056,36
59,37440,36
57,37440,36
53,37440,36
52,37632,92
56,37824,84
59,37920,68
52,38016,60
56,38208,44
59,38208,44
52,38400,56
52,38592,172
64,38784,324
56,38784,332
52,39168,52
52,39360,56
56,39552,308
64,39552,292
52,40128,72
56,40224,32
52,40512,80
52,40896,40
57,40896,52
52,41088,180
57,41088,184
52,41472,116
56,41664,92
59,41760,76
56,42048,60
52,42240,84
56,42432,88
59,42528,44
53,42720,108
56,42816,92
59,42912,68
52,43008,184
56,43200,96
59,43296,76
56,43584,52
52,43776,92
56,43968,92
59,44064,48
53,44256,108
56,44352,112
59,44448,68
57,44736,100
60,44832,72
52,44928,72
57,45120,36
60,45120,36
57,45504,92
60,45600,56
52,45696,88
57,45792,104
60,45888,104
57,45984,64
52,46080,64
56,46272,104
59,46368,68
53,46656,92
57,46752,72
52,46848,236
56,47040,84
59,47136,68
56,47232,196
52,47424,108
52,47616,88
56,47808,88
59,47904,60
56,48192,60
52,48384,92
56,48576,88
59,48672,48
53,48864,116
56,48960,92
59,49056,72
52,49152,92
59,49344,64
56,49728,96
59,49824,60
52,49920,100
56,50112,84
59,50208,52
53,50400,100
56,50496,92
59,50592,64
57,50880,92
60,50976,64
52,51072,88
