note,time,duration
64,4608,236
64,4992,492
68,5568,200
65,5760,192
64,5952,184
68,6144,216
68,6528,400
71,7104,212
69,7296,152
68,7488,164
69,7680,192
69,8064,352
72,8640,228
71,8832,160
69,9024,188
68,9216,396
65,9600,100
64,9696,52
65,9792,228
68,9984,424
64,10752,224
64,11136,404
68,11712,212
65,11904,184
64,12096,184
68,12288,200
68,12672,464
71,13248,224
69,13440,184
68,13632,204
69,13824,268
69,14208,364
72,14784,228
71,14976,152
69,15168,172
68,15360,364
65,15744,100
64,15840,88
65,15936,184
68,16128,536
68,16908,56
68,17080,256
65,17472,184
64,17664,52
64,17856,44
64,18048,396
65,18432,72
65,18624,420
64,19008,176
62,19200,52
62,19392,44
62,19584,216
62,19968,216
65,20352,220
64,20640,76
62,20736,92
62,20928,88
69,21120,268
68,21504,372
65,21888,104
64,21984,88
65,22080,240
68,22272,648
68,23040,60
68,23232,364
65,23616,184
64,23808,60
64,24000,56
64,24192,380
65,24576,52
65,24768,400
64,25152,188
62,25344,48
62,25536,80
62,25728,240
62,26112,244
65,26496,244
64,26784,76
62,26880,112
62,27072,120
69,27264,352
68,27648,292
65,28032,76
64,28128,80
65,28224,152
68,28416,636
69,29184,704
69,29952,708
69,30720,264
69,31104,276
69,31488,272
69,31872,292
69,32256,60
69,32352,40
69,32448,128
72,32640,248
71,32936,52
69,33016,136
72,33212,120
71,33412,128
69,33588,128
69,33792,64
69,33888,40
69,33984,160
72,34176,272
71,34464,68
69,34560,176
72,34752,148
71,34944,156
69,35136,156
71,35328,60
71,35424,64
71,35520,168
74,35712,264
72,36000,60
71,36096,164
74,36288,164
72,36480,140
71,36672,140
71,36864,60
71,36960,40
71,37056,72
74,37248,248
72,37536,48
71,37632,160
74,37824,156
72,38016,164
71,38208,116
71,38400,60
71,38496,64
71,38592,124
76,38784,416
59,39168,40
59,39264,36
59,39360,36
64,39552,348
64,39936,368
72,40320,136
71,40416,112
69,40512,88
68,40608,80
69,40704,736
64,41472,236
64,41856,492
68,42432,200
65,42624,192
64,42816,184
68,43008,216
68,43392,400
71,43968,212
69,44160,152
68,44352,164
69,44544,192
69,44928,352
72,45504,228
71,45696,160
69,45888,188
68,46080,396
65,46464,100
64,46560,52
65,46656,228
68,46848,424
64,47616,224
64,48000,404
68,48576,212
65,48768,184
64,48960,184
68,49152,200
68,49536,464
71,50112,224
69,50304,184
68,50496,204
69,50688,268
69,51072,364
72,51648,228
71,51840,152
69,52032,172
68,52224,364
65,52608,100
64,52704,88
65,52800,184
68,52992,536
68,53772,56
68,53944,256
65,54336,184
64,54528,52
64,54720,44
64,54912,396
65,55296,72
65,55488,420
64,55872,176
62,56064,52
62,56256,44
62,56448,216
62,56832,216
65,57216,220
64,57504,76
62,57600,92
62,57792,88
69,57984,268
68,58368,372
65,58752,104
64,58848,88
65,58944,240
68,59136,648
68,59904,60
68,60096,364
65,60480,184
64,60672,60
64,60864,56
64,61056,380
65,61440,52
65,61632,400
64,62016,188
62,62208,48
62,62400,80
62,62592,240
62,62976,244
65,63360,244
64,63648,76
62,63744,112
62,63936,120
69,64128,352
68,64512,292
65,64896,76
64,64992,80
65,65088,152
68,65280,636
69,66048,704
69,66816,708
69,67584,264
69,67968,276
69,68352,272
69,68736,292
69,69120,60
69,69216,40
69,69312,128
72,69504,248
71,69800,52
69,69880,136
72,70076,120
71,70276,128
69,70452,128
69,70656,64
69,70752,40
69,70848,160
72,71040,272
71,71328,68
69,71424,176
72,71616,148
71,71808,156
69,72000,156
71,72192,60
71,72288,64
71,72384,168
74,72576,264
72,72864,60
71,72960,164
74,73152,164
72,73344,140
71,73536,140
71,73728,60
71,73824,40
71,73920,72
74,74112,248
72,74400,48
71,74496,160
74,74688,156
72,74880,164
71,75072,116
71,75264,60
71,75360,64
71,75456,124
76,75648,416
59,76032,68
59,76128,48
59,76224,168
64,76416,348
64,76800,368
72,77184,136
71,77280,112
69,77376,88
68,77472,80
69,77568,356
