note,time,duration
40,1536,236
47,1920,184
40,2304,188
47,2688,148
40,2880,44
40,3072,144
47,3456,168
40,3840,84
40,4032,112
47,4224,200
40,4608,160
47,4992,192
40,5376,76
40,5568,100
47,5760,136
40,6144,140
47,6528,164
40,6912,80
40,7104,92
47,7296,100
47,7488,108
45,7680,164
40,8064,128
45,8448,84
45,8640,76
45,8832,132
40,9216,160
38,9600,192
40,9984,80
40,10176,76
40,10368,244
40,10752,168
47,11136,168
40,11520,84
40,11712,108
47,11904,232
40,12288,168
47,12672,168
40,13056,88
40,13248,100
47,13440,168
45,13824,172
45,14208,176
45,14592,52
45,14784,68
45,14976,176
40,15360,208
38,15744,248
40,16128,72
40,16320,60
40,16512,244
40,16896,164
47,17280,212
40,17664,80
40,17856,104
47,18048,136
40,18240,76
38,18432,192
45,18816,216
38,19200,80
38,19392,92
45,19584,100
38,19776,48
38,19968,224
45,20352,184
38,20736,72
38,20928,88
45,21120,232
40,21504,168
38,21888,144
40,22272,76
40,22464,76
40,22656,260
40,23040,152
47,23424,140
40,23808,76
40,24000,76
40,24192,228
38,24576,132
45,24960,164
38,25344,72
38,25536,80
38,25728,200
38,26112,208
45,26496,168
38,26880,68
38,27072,80
45,27264,132
40,27648,124
38,28032,132
40,28416,72
40,28608,68
40,28800,192
45,29184,624
45,29952,592
45,30720,244
38,31104,340
45,31488,304
38,31872,344
45,32256,72
45,32448,80
40,32640,140
45,33024,76
40,33408,132
45,33792,68
45,33984,80
40,34176,168
45,34560,160
40,34944,124
45,35136,80
50,35328,72
50,35520,96
45,35712,168
52,36096,192
47,36480,144
50,36864,80
50,37056,100
45,37248,140
52,37632,192
47,38016,228
40,38400,64
40,38592,56
40,38784,276
40,39168,40
40,39360,40
40,39552,272
40,39936,80
40,40128,80
44,40320,68
44,40512,68
45,40704,64
45,40896,64
45,41088,380
40,41472,160
47,41856,192
40,42240,76
40,42432,100
47,42624,136
40,43008,140
47,43392,164
40,43776,80
40,43968,92
47,44160,100
47,44352,108
45,44544,164
40,44928,128
45,45312,84
45,45504,76
45,45696,132
40,46080,160
38,46464,192
40,46848,80
40,47040,76
40,47232,244
40,47616,168
47,48000,168
40,48384,84
40,48576,108
47,48768,232
40,49152,168
47,49536,168
40,49920,88
40,50112,100
47,50304,168
45,50688,172
45,51072,176
45,51456,52
45,51648,68
45,51840,176
40,52224,208
38,52608,248
40,52992,72
40,53184,60
40,53376,244
40,53760,164
47,54144,212
40,54528,80
40,54720,104
47,54912,136
40,55104,76
38,55296,192
45,55680,216
38,56064,80
38,56256,92
45,56448,100
38,56640,48
38,56832,224
45,57216,184
38,57600,72
38,57792,88
45,57984,232
40,58368,168
38,58752,144
40,59136,76
40,59328,76
40,59520,260
40,59904,152
47,60288,140
40,60672,76
40,60864,76
40,61056,228
38,61440,132
45,61824,164
38,62208,72
38,62400,80
38,62592,200
38,62976,208
45,63360,168
38,63744,68
38,63936,80
45,64128,132
40,64512,124
38,64896,132
40,65280,72
40,65472,68
40,65664,192
45,66048,624
45,66816,592
45,67584,244
38,67968,340
45,68352,304
38,68736,344
45,69120,72
45,69312,80
40,69504,140
45,69888,76
40,70272,132
45,70656,68
45,70848,80
40,71040,168
45,71424,160
40,71808,124
45,72000,80
50,72192,72
50,72384,96
45,72576,168
52,72960,192
47,73344,144
50,73728,80
50,73920,100
45,74112,140
52,74496,192
47,74880,228
40,75264,64
40,75456,56
40,75648,276
40,76032,40
40,76224,40
40,76416,272
40,76800,80
40,76992,80
44,77184,68
44,77376,68
45,77568,64
45,77760,64
45,77952,20
