note,time,duration
45,3072,380
45,3456,380
45,3840,380
45,4224,380
45,4608,380
45,4992,380
45,5376,188
40,5568,188
43,5760,380
45,6144,380
45,6528,380
45,6912,380
45,7296,380
45,7680,380
45,8064,380
45,8448,188
40,8640,188
43,8832,380
45,9216,380
45,9600,380
45,9984,380
45,10368,380
45,10752,380
45,11136,380
45,11520,188
40,11712,188
43,11904,380
45,12288,380
45,12672,380
45,13056,380
45,13440,380
45,13824,380
45,14208,380
45,14592,188
41,14784,188
43,14976,380
45,15360,380
45,15744,380
45,16128,380
45,16512,380
45,16896,380
45,17280,380
45,17664,188
40,17856,188
44,18048,380
45,18432,380
45,18816,380
45,19200,380
45,19584,380
45,19968,380
45,20352,380
45,20736,188
40,20928,188
44,21120,380
45,21504,380
45,21888,380
45,22272,380
45,22656,380
45,23040,380
45,23424,380
45,23808,188
40,24000,188
44,24192,380
45,24576,380
45,24960,380
45,25344,380
45,25728,380
45,26112,380
45,26496,380
45,26880,188
40,27072,188
44,27264,380
41,27648,380
38,28032,188
36,28224,188
41,28416,380
38,28800,188
36,28992,188
43,29184,380
40,29568,188
38,29760,188
43,29952,380
40,30336,188
38,30528,188
45,30720,380
45,31104,188
43,31296,188
45,31488,380
45,31872,188
43,32064,188
45,32256,380
45,32640,188
43,32832,188
45,33024,380
45,33408,380
41,33792,380
38,34176,188
36,34368,188
41,34560,380
38,34944,188
36,35136,188
43,35328,380
40,35712,188
38,35904,188
43,36096,380
40,36480,188
38,36672,188
36,36864,380
36,37248,188
35,37440,188
36,37632,380
36,38016,188
35,38208,188
36,38400,380
36,38784,188
35,38976,188
36,39168,380
36,39552,380
41,39936,380
38,40320,188
36,40512,188
41,40704,380
38,41088,188
36,41280,188
43,41472,380
40,41856,188
38,42048,188
43,42240,380
40,42624,188
38,42816,188
45,43008,380
45,43392,188
43,43584,188
45,43776,380
45,44160,188
43,44352,188
45,44544,380
45,44928,188
43,45120,188
45,45312,380
45,45696,380
41,46080,380
38,46464,188
36,46656,188
41,46848,380
38,47232,188
36,47424,188
43,47616,380
40,48000,188
38,48192,188
43,48384,380
40,48768,188
38,48960,188
36,49152,380
36,49536,188
35,49728,188
36,49920,380
36,50304,188
35,50496,188
36,50688,380
36,51072,188
35,51264,188
36,51456,380
36,51840,380
41,52224,380
38,52608,188
36,52800,188
41,52992,380
38,53376,188
36,53568,188
43,53760,380
40,54144,188
38,54336,188
43,54528,380
40,54912,188
38,55104,188
45,55296,380
45,55680,380
45,56064,380
45,56448,380
45,56832,380
45,57216,380
45,57600,188
40,57792,188
43,57984,380
45,58368,380
45,58752,380
45,59136,380
45,59520,380
45,59904,380
45,60288,380
45,60672,188
40,60864,188
43,61056,380
