note,time,duration
35,3072,380
35,3456,380
35,3840,380
35,4224,380
35,4608,380
35,4992,380
35,5376,188
35,5568,188
35,5760,380
35,6144,380
35,6528,380
35,6912,380
35,7296,380
35,7680,380
35,8064,380
35,8448,188
35,8640,188
35,8832,380
35,9216,380
35,9600,380
35,9984,380
35,10368,380
35,10752,380
35,11136,380
35,11520,188
35,11712,188
35,11904,380
35,12288,380
35,12672,380
35,13056,380
35,13440,380
35,13824,380
35,14208,380
35,14592,188
35,14784,188
35,14976,380
35,15360,380
35,15744,380
35,16128,380
35,16512,380
35,16896,380
35,17280,380
35,17664,188
35,17856,188
35,18048,380
35,18432,380
35,18816,380
35,19200,380
35,19584,380
35,19968,380
35,20352,380
35,20736,188
35,20928,188
35,21120,380
35,21504,380
35,21888,380
35,22272,380
35,22656,380
35,23040,380
35,23424,380
35,23808,188
35,24000,188
35,24192,380
35,24576,380
35,24960,380
35,25344,380
35,25728,380
35,26112,380
35,26496,380
35,26880,188
35,27072,188
35,27264,380
38,27648,380
35,28032,188
35,28224,188
38,28416,380
35,28800,188
35,28992,188
38,29184,380
35,29568,188
35,29760,188
38,29952,380
35,30336,188
35,30528,188
38,30720,380
35,31104,188
35,31296,188
38,31488,380
35,31872,188
35,32064,188
38,32256,380
35,32640,188
35,32832,188
38,33024,380
35,33408,188
35,33600,188
38,33792,380
35,34176,188
35,34368,188
38,34560,380
35,34944,188
35,35136,188
38,35328,380
35,35712,188
35,35904,188
38,36096,380
35,36480,188
35,36672,188
38,36864,380
35,37248,188
35,37440,188
38,37632,380
35,38016,188
35,38208,188
38,38400,380
35,38784,188
35,38976,188
38,39168,380
35,39552,380
38,39936,380
35,40320,188
35,40512,188
38,40704,380
35,41088,188
35,41280,188
38,41472,380
35,41856,188
35,42048,188
38,42240,380
35,42624,188
35,42816,188
38,43008,380
35,43392,188
35,43584,188
38,43776,380
35,44160,188
35,44352,188
38,44544,380
35,44928,188
35,45120,188
38,45312,380
35,45696,380
38,46080,380
35,46464,188
35,46656,188
38,46848,380
35,47232,188
35,47424,188
38,47616,380
35,48000,188
35,48192,188
38,48384,380
35,48768,188
35,48960,188
38,49152,380
35,49536,188
35,49728,188
38,49920,380
35,50304,188
35,50496,188
38,50688,380
35,51072,188
35,51264,188
38,51456,380
35,51840,380
38,52224,380
35,52608,188
35,52800,188
38,52992,380
35,53376,188
35,53568,188
38,53760,380
