note,time,duration
38,5568,188
46,5760,380
38,8640,188
46,8832,380
38,11712,188
46,11904,380
38,14784,188
46,14976,380
38,17856,188
46,18048,380
38,20928,188
46,21120,380
38,24000,188
46,24192,380
38,27072,188
46,27264,380
42,28800,6
42,28992,6
42,30336,3
42,30528,3
42,33408,3
46,33603,3
42,34944,3
46,35136,6
42,36480,6
46,36672,6
49,36864,6
42,39552,6
46,39744,6
42,41088,9
46,41280,6
42,42624,3
46,42816,3
42,44160,6
46,44352,6
42,45696,3
46,45888,6
42,47232,3
46,47424,6
42,48768,3
46,48960,6
49,49168,6
42,52608,3
46,53027,3
42,54144,6
46,54531,3
38,57792,188
46,57984,380
38,60864,188
46,61056,380
38,63936,188
46,64128,380
38,67008,188
46,67200,380
38,70080,188
46,70272,380
38,73152,188
46,73344,380
38,103872,188
46,104064,380
38,106944,188
46,107136,380
38,110016,188
46,110208,380
38,113088,188
46,113280,380
38,116160,188
46,116352,380
38,119232,188
46,119424,380
38,122304,188
46,122496,380
38,125376,188
46,125568,380
38,128448,188
46,128640,380
38,131520,188
46,131712,380
38,134592,188
46,134784,380
38,137664,188
46,137856,380
38,140736,188
46,140928,380
38,143808,188
46,144000,380
38,146880,188
46,147072,380
38,149952,188
46,150144,380
38,153024,188
46,153216,380
38,156096,188
46,156288,380
38,159168,188
46,159360,380
38,162240,188
46,162432,380
38,165312,188
46,165504,380
