note,time,duration
78,101760,380
78,102144,380
78,102528,380
78,102912,380
76,103936,252
78,104192,252
79,104448,380
78,107904,380
78,108288,380
78,108672,380
78,109056,380
76,110080,252
78,110336,252
79,110592,380
73,114048,188
72,114240,188
73,114432,188
69,114624,188
69,115200,188
69,115392,380
69,115776,188
69,115968,380
74,117120,188
74,117312,188
74,117504,380
74,118656,188
74,118848,188
74,119040,572
74,119616,188
76,119808,1532
76,121344,1148
76,123072,188
76,123264,188
76,123456,188
76,123648,188
76,123840,188
76,124032,188
76,124224,188
76,124416,188
76,124608,188
76,124800,188
76,124992,188
76,125184,380
76,126336,188
76,126528,188
76,126720,380
76,127104,380
76,127488,188
76,127680,380
76,128064,188
76,128256,764
76,129216,188
76,129408,380
76,129792,188
76,129984,188
76,130176,188
76,130368,188
76,130752,380
76,131136,188
76,131328,764
83,132096,252
83,132352,252
83,132608,252
83,132864,380
83,133248,380
81,133632,1532
