note,time,duration
69,9216,188
64,9216,188
69,9408,188
64,9408,188
64,9600,188
69,9600,188
64,9792,188
69,9792,188
64,9984,188
69,9984,188
64,10176,188
69,10176,188
64,10368,188
69,10368,188
64,10560,188
69,10560,188
64,10752,188
69,10752,188
64,10944,188
69,10944,188
64,11136,188
69,11136,188
64,11328,188
69,11328,188
64,11520,188
69,11520,188
63,11712,572
66,11712,572
72,11712,572
64,12288,188
69,12288,188
64,12480,188
69,12480,188
64,12672,188
69,12672,188
64,12864,188
69,12864,188
64,13056,188
69,13056,188
64,13248,188
69,13248,188
64,13440,188
69,13440,188
64,13632,188
69,13632,188
64,13824,188
69,13824,188
64,14016,188
69,14016,188
64,14208,188
69,14208,188
64,14400,188
69,14400,188
64,14592,188
69,14592,188
66,14784,572
72,14784,572
63,14784,572
66,15360,1532
61,15360,1532
55,15360,1532
61,16896,1148
64,16896,1148
55,16896,1148
67,18048,380
62,18048,380
59,18048,380
61,18432,1532
55,18432,1532
64,18432,1532
61,19968,1148
55,19968,1148
64,19968,1148
59,21120,380
62,21120,380
67,21120,380
61,21504,1532
64,21504,1532
55,21504,1532
61,23040,1148
64,23040,1148
55,23040,1148
62,24192,380
67,24192,380
59,24192,380
61,24576,1532
64,24576,1532
55,24576,1532
61,26112,1148
64,26112,1148
55,26112,1148
67,27264,380
62,27264,380
59,27264,380
65,27648,1532
62,27648,1532
57,27648,1532
67,29184,1532
62,29184,1532
59,29184,1532
57,30720,1532
64,30720,1532
60,30720,1532
57,32256,1532
64,32256,1532
60,32256,1532
62,33792,1532
65,33792,1532
57,33792,1532
67,35328,1532
62,35328,1532
59,35328,1532
60,36864,1532
55,36864,1532
64,36864,1532
55,38400,1532
64,38400,1532
60,38400,1532
65,39936,1532
60,39936,1532
57,39936,1532
62,41472,1532
67,41472,1532
59,41472,1532
64,43008,1532
69,43008,1532
60,43008,1532
64,44544,1532
69,44544,1532
60,44544,1532
60,46080,1532
65,46080,1532
57,46080,1532
62,47616,1532
67,47616,1532
59,47616,1532
60,49152,1532
64,49152,1532
55,49152,1532
64,50688,1532
55,50688,1532
60,50688,1532
60,52224,1532
65,52224,1532
57,52224,1532
67,53760,1532
62,53760,1532
59,53760,1532
69,55296,188
64,55296,188
64,55488,188
69,55488,188
64,55680,188
69,55680,188
64,55872,188
69,55872,188
64,56064,188
69,56064,188
64,56256,188
69,56256,188
69,56448,188
64,56448,188
69,56640,188
64,56640,188
64,56832,188
69,56832,188
69,57024,188
64,57024,188
69,57216,188
64,57216,188
69,57408,188
64,57408,188
69,57600,188
64,57600,188
66,57792,572
72,57792,572
63,57792,572
64,58368,188
69,58368,188
