note,time,duration
69,15574,192
72,15734,384
69,16121,192
67,16313,192
69,16502,384
69,16896,192
67,17078,192
69,17270,192
69,17472,576
72,18614,192
69,18806,192
67,19008,192
69,19206,192
67,19382,192
69,19574,192
67,19769,192
69,20160,192
67,20320,192
69,20544,576
69,21673,192
69,21881,384
69,22288,
69,22640,192
67,22841,192
69,23081,
69,23241,32
69,23616,576
76,24969,
76,25318,192
69,25536,
69,25718,192
67,25920,192
69,26112,192
69,26313,
69,26678,576
72,28416,
72,28598,192
72,28800,192
72,28992,192
71,29974,
71,30137,192
71,30329,384
69,30944,
69,31088,192
64,31296,192
72,31488,384
69,31865,192
64,32064,192
69,32297,192
64,32425,192
72,32617,384
69,33033,
69,33366,192
67,33577,192
72,34169,192
72,34361,384
72,34745,384
71,35136,
71,35689,192
71,35904,
71,36086,256
71,36342,256
71,36598,256
72,36864,1152
76,38400,768
72,39168,768
65,39936,384
72,40704,
72,40886,10
72,41065,13
72,41248,192
71,41472,
71,41654,10
71,41833,384
69,43216,
69,43369,192
64,43577,192
72,43776,384
69,44137,192
64,44352,192
69,44544,192
64,44745,192
72,44918,384
69,45302,
69,45673,192
67,45878,192
72,46464,192
72,46656,384
72,47040,384
71,47424,576
71,48000,192
71,48192,192
71,48384,256
71,48640,256
71,48896,256
72,49152,1152
72,51081,384
76,51449,384
79,51830,384
81,52224,1536
83,53760,256
83,54016,256
83,54281,
83,54528,9
83,54905,384
81,55296,1536
69,61654,192
72,61814,384
69,62201,192
67,62393,192
69,62582,384
69,62976,192
67,63158,192
69,63350,192
69,63552,576
72,64694,192
69,64886,192
67,65088,192
69,65286,192
67,65462,192
69,65654,192
67,65849,192
69,66240,192
67,66400,192
69,66624,576
69,67753,192
69,67961,384
69,68368,
69,68720,192
67,68921,192
69,69161,
69,69321,32
69,69696,576
76,71049,
76,71398,192
69,71616,
69,71798,192
67,72000,192
69,72192,192
69,72393,
69,72758,576
72,74496,
72,74678,192
72,74880,192
72,75072,192
71,76054,
71,76217,192
71,76409,384
69,77024,
69,77168,192
64,77376,192
72,77568,384
69,77945,192
64,78144,192
69,78377,192
64,78505,192
72,78697,384
69,79113,
69,79446,192
67,79657,192
72,80249,192
72,80441,384
72,80825,384
71,81216,
71,81769,192
71,81984,
71,82166,256
71,82422,256
71,82678,256
72,82944,1152
76,84480,768
72,85248,768
65,86016,384
72,86784,
72,86966,10
72,87145,13
72,87328,192
71,87552,
71,87734,10
71,87913,384
69,89296,
69,89449,192
64,89657,192
72,89856,384
69,90217,192
64,90432,192
69,90624,192
64,90825,192
72,90998,384
69,91382,
69,91753,192
67,91958,192
72,92544,192
72,92736,384
72,93120,384
71,93504,576
71,94080,192
71,94272,192
71,94464,256
71,94720,256
71,94976,256
72,95232,1152
72,97161,384
76,97529,384
79,97910,384
81,98304,1536
83,99840,256
83,100096,256
83,100352,256
83,100608,
83,100950,384
