note,time,duration
71,795,
79,795,
62,795,
70,1054,
78,1054,
61,1054,
69,1807,
77,1807,
60,1807,
65,2069,
74,2069,
59,2069,
62,2827,
71,2827,
55,2827,
60,3084,
69,3084,
53,3084,
59,3837,
68,3837,
52,3837,
59,4100,
67,4100,
50,4100,
71,5150,
79,5150,
55,5150,
65,6165,
67,6165,
50,6165,
55,7180,
72,8196,
79,8196,
48,8196,
64,8987,
72,8987,
67,9246,
76,9246,
55,9246,
72,9999,
79,9999,
48,10261,
64,11019,
72,11019,
67,11276,
76,11276,
55,11276,
72,12029,
79,12029,
63,12292,
71,12292,
47,12292,
66,12668,
75,12668,
71,13000,
79,13000,
75,13342,
83,13342,
55,13342,
71,14095,
81,14095,
47,14357,
55,15372,
70,16388,
79,16388,
46,16388,
62,17179,
70,17179,
67,17438,
74,17438,
55,17438,
70,18191,
79,18191,
46,18453,
62,19211,
70,19211,
67,19468,
74,19468,
55,19468,
70,20221,
79,20221,
64,20484,
73,20484,
45,20484,
69,20860,
76,20860,
73,21192,
79,21192,
76,21534,
83,21534,
55,21534,
73,22287,
81,22287,
45,22549,
55,23564,
76,24317,
83,24317,
81,24580,
84,24580,
41,24580,
79,25371,
83,25371,
81,25630,
84,25630,
53,25630,
77,26383,
81,26383,
42,26645,
81,27403,
84,27403,
79,27660,
83,27660,
54,27660,
78,28413,
81,28413,
76,28676,
79,28676,
43,28676,
75,29467,
78,29467,
76,29726,
79,29726,
55,29726,
72,30479,
76,30479,
45,30741,
69,31499,
73,31499,
71,31756,
74,31756,
57,31756,
72,32509,
76,32509,
74,32772,
77,32772,
50,32772,
72,33563,
76,33563,
74,33822,
77,33822,
53,33822,
67,34575,
71,34575,
43,34837,
72,35595,
76,35595,
71,35852,
74,35852,
50,35852,
67,36605,
72,36605,
48,36868,
43,37918,
48,38933,
48,40964,
67,41506,
76,41506,
50,42014,
72,43029,
79,43029,
52,43029,
76,44044,
81,44044,
55,44044,
79,44797,
84,44797,
57,45060,
55,46110,
76,47125,
81,47125,
52,47125,
72,47883,
79,47883,
69,48140,
76,48140,
48,48140,
67,48893,
72,48893,
66,49156,
74,49156,
50,49156,
67,49947,
76,49947,
66,50206,
74,50206,
52,50206,
67,50959,
76,50959,
66,51221,
74,51221,
54,51221,
62,51979,
69,51979,
45,52236,
66,52989,
74,52989,
50,53252,
66,54043,
69,54043,
50,54043,
62,54302,
74,54302,
48,54302,
66,54560,
69,54560,
62,54807,
74,54807,
66,55055,
69,55055,
62,55317,
74,55317,
47,55317,
66,55580,
69,55580,
62,55827,
74,55827,
66,56075,
69,56075,
62,56332,
74,56332,
45,56332,
65,57085,
74,57085,
43,57348,
67,58139,
76,58139,
65,58398,
74,58398,
55,58398,
67,59151,
76,59151,
65,59413,
74,59413,
53,59413,
67,60171,
76,60171,
50,60428,
72,61181,
81,61181,
47,61444,
71,62235,
79,62235,
72,62494,
81,62494,
43,62494,
71,63247,
79,63247,
69,63509,
76,63509,
45,63509,
65,64267,
74,64267,
64,64524,
72,64524,
47,64524,
72,65277,
76,65277,
48,65540,
64,66331,
67,66331,
72,66590,
76,66590,
49,66590,
64,66848,
67,66848,
72,67095,
76,67095,
64,67343,
67,67343,
72,67605,
76,67605,
50,67605,
64,67868,
67,67868,
72,68115,
76,68115,
64,68363,
67,68363,
72,68620,
76,68620,
51,68620,
64,68877,
67,68877,
72,69125,
76,69125,
52,69636,
71,70344,
79,70344,
47,70427,
45,70686,
69,71027,
75,71027,
67,71701,
71,71701,
43,71701,
65,72376,
69,72376,
45,72716,
63,73056,
67,73056,
48,73732,
67,74274,
76,74274,
50,74782,
72,75797,
79,75797,
52,75797,
76,76812,
81,76812,
55,76812,
79,77565,
84,77565,
57,77828,
55,78878,
76,79893,
81,79893,
52,79893,
72,80651,
79,80651,
69,80908,
76,80908,
48,80908,
67,81661,
72,81661,
66,81924,
74,81924,
50,81924,
67,82715,
76,82715,
66,82974,
74,82974,
52,82974,
67,83727,
76,83727,
66,83989,
74,83989,
54,83989,
62,84747,
69,84747,
45,85004,
66,85757,
74,85757,
50,86020,
66,86811,
69,86811,
50,86811,
62,87070,
74,87070,
48,87070,
66,87328,
69,87328,
62,87575,
74,87575,
66,87823,
69,87823,
62,88085,
74,88085,
47,88085,
66,88348,
69,88348,
62,88595,
74,88595,
66,88843,
69,88843,
62,89100,
74,89100,
45,89100,
65,89853,
74,89853,
43,90116,
67,90907,
76,90907,
65,91166,
74,91166,
55,91166,
67,91919,
76,91919,
65,92181,
74,92181,
53,92181,
67,92939,
76,92939,
50,93196,
72,93949,
81,93949,
47,94212,
71,95003,
79,95003,
72,95262,
81,95262,
43,95262,
71,96015,
79,96015,
72,96277,
81,96277,
45,96277,
71,97035,
79,97035,
67,97292,
76,97292,
47,97292,
64,98045,
72,98045,
48,98308,
43,99358,
66,100111,
67,100373,
45,100373,
68,101131,
65,101388,
69,101388,
47,101388,
64,102141,
72,102141,
48,102404,
64,104207,
72,104207,
48,104207,
64,106237,
76,106237,
52,106500,
65,107291,
77,107291,
63,107550,
75,107550,
59,107550,
64,108303,
76,108303,
65,108565,
77,108565,
56,108565,
63,109323,
75,109323,
64,109580,
76,109580,
53,109580,
71,110333,
83,110333,
50,110596,
68,111646,
80,111646,
48,111646,
65,112661,
77,112661,
47,112661,
64,113676,
76,113676,
44,113676,
62,114692,
74,114692,
45,114692,
64,114985,
76,114985,
62,115234,
74,115234,
60,115483,
72,115483,
59,115742,
71,115742,
47,115742,
60,116495,
72,116495,
62,116757,
74,116757,
48,116757,
60,117515,
72,117515,
59,117772,
71,117772,
50,117772,
60,118525,
72,118525,
52,118788,
48,119838,
60,120591,
72,120591,
59,120853,
71,120853,
47,120853,
60,121868,
72,121868,
45,121868,
50,122884,
62,123675,
74,123675,
52,123934,
61,124949,
73,124949,
54,124949,
62,125964,
74,125964,
57,125964,
69,126717,
81,126717,
50,126980,
66,128030,
78,128030,
45,128030,
67,129045,
79,129045,
50,129045,
69,130060,
81,130060,
54,130060,
71,131076,
83,131076,
55,131076,
70,131867,
71,132126,
53,132126,
71,132879,
83,132879,
69,133141,
81,133141,
50,133141,
68,133899,
69,134156,
47,134156,
69,134909,
81,134909,
68,135172,
80,135172,
50,135172,
67,135963,
68,136222,
47,136222,
68,136975,
80,136975,
67,137237,
79,137237,
45,137237,
62,137995,
74,137995,
59,138252,
71,138252,
43,138252,
55,139005,
67,139005,
72,139268,
79,139268,
48,139268,
64,140059,
72,140059,
67,140318,
76,140318,
55,140318,
72,141071,
79,141071,
48,141333,
64,142091,
72,142091,
67,142348,
76,142348,
55,142348,
72,143101,
79,143101,
63,143364,
71,143364,
47,143364,
66,143740,
75,143740,
71,144072,
79,144072,
75,144414,
83,144414,
55,144414,
71,145167,
81,145167,
47,145429,
55,146444,
70,147460,
79,147460,
46,147460,
62,148251,
70,148251,
67,148510,
74,148510,
55,148510,
70,149263,
79,149263,
46,149525,
62,150283,
70,150283,
67,150540,
74,150540,
55,150540,
70,151293,
79,151293,
64,151556,
73,151556,
45,151556,
69,151932,
76,151932,
73,152264,
79,152264,
76,152606,
83,152606,
55,152606,
73,153359,
81,153359,
45,153621,
55,154636,
76,155389,
83,155389,
81,155652,
84,155652,
41,155652,
79,156443,
83,156443,
81,156702,
84,156702,
53,156702,
77,157455,
81,157455,
42,157717,
81,158475,
84,158475,
79,158732,
83,158732,
54,158732,
78,159485,
81,159485,
76,159748,
79,159748,
43,159748,
75,160539,
78,160539,
76,160798,
79,160798,
55,160798,
72,161551,
76,161551,
45,161813,
69,162571,
73,162571,
71,162828,
74,162828,
57,162828,
72,163581,
76,163581,
74,163844,
77,163844,
50,163844,
72,164635,
76,164635,
74,164894,
77,164894,
53,164894,
67,165647,
71,165647,
43,165909,
72,166667,
76,166667,
71,166924,
74,166924,
50,166924,
67,167677,
72,167677,
48,167940,
43,168990,
48,170005,
48,172036,
67,172578,
76,172578,
50,173086,
72,174101,
79,174101,
52,174101,
76,175116,
81,175116,
55,175116,
79,175869,
84,175869,
57,176132,
55,177182,
76,178197,
81,178197,
52,178197,
72,178955,
79,178955,
69,179212,
76,179212,
48,179212,
67,179965,
72,179965,
66,180228,
74,180228,
50,180228,
67,181019,
76,181019,
66,181278,
74,181278,
52,181278,
67,182031,
76,182031,
66,182293,
74,182293,
54,182293,
62,183051,
69,183051,
45,183308,
66,184061,
74,184061,
50,184324,
66,185115,
69,185115,
50,185115,
62,185374,
74,185374,
48,185374,
66,185632,
69,185632,
62,185879,
74,185879,
66,186127,
69,186127,
62,186389,
74,186389,
47,186389,
66,186652,
69,186652,
62,186899,
74,186899,
66,187147,
69,187147,
62,187404,
74,187404,
45,187404,
65,188157,
74,188157,
43,188420,
67,189211,
76,189211,
65,189470,
74,189470,
55,189470,
67,190223,
76,190223,
65,190485,
74,190485,
53,190485,
67,191243,
76,191243,
50,191500,
72,192253,
81,192253,
47,192516,
71,193307,
79,193307,
72,193566,
81,193566,
43,193566,
71,194319,
79,194319,
69,194581,
76,194581,
45,194581,
65,195339,
74,195339,
64,195596,
72,195596,
47,195596,
72,196349,
76,196349,
48,196612,
64,197403,
67,197403,
72,197662,
76,197662,
49,197662,
64,197920,
67,197920,
72,198167,
76,198167,
64,198415,
67,198415,
72,198677,
76,198677,
50,198677,
64,198940,
67,198940,
72,199187,
76,199187,
64,199435,
67,199435,
72,199692,
76,199692,
51,199692,
64,199949,
67,199949,
72,200197,
76,200197,
52,200708,
71,201416,
