note,time,duration
38,0,115
38,240,115
38,360,115
38,480,115
38,840,115
38,960,115
38,1200,115
38,1320,115
38,1440,115
38,1560,115
38,1680,115
38,1800,115
34,1920,115
34,2160,115
34,2280,115
46,2400,115
36,2880,115
36,3000,115
48,3120,115
36,3240,115
36,3360,115
36,3480,115
36,3600,115
36,3720,115
38,3840,115
38,4080,115
38,4200,115
38,4320,115
38,4680,115
38,4800,115
38,5040,115
38,5160,115
38,5280,115
38,5400,115
38,5520,115
38,5640,115
34,5760,115
34,6000,115
34,6120,115
46,6240,115
36,6720,115
36,6840,115
48,6960,115
36,7080,115
36,7200,115
36,7320,115
36,7440,115
36,7560,115
38,7680,115
38,7920,115
38,8040,115
38,8160,115
38,8520,115
38,8640,115
38,8880,115
38,9000,115
38,9120,115
38,9240,115
38,9360,115
38,9480,115
34,9600,115
34,9840,115
34,9960,115
46,10080,115
34,10200,115
34,10440,115
34,10680,115
46,10800,115
46,11040,115
46,11280,115
38,11520,115
38,11760,115
38,11880,115
38,12000,115
38,12360,115
38,12480,115
38,12720,115
38,12840,115
38,12960,115
38,13080,115
38,13200,115
38,13320,115
34,13440,115
34,13680,115
34,13800,115
46,13920,115
34,14040,115
34,14280,115
34,14520,115
46,14640,115
46,14880,115
46,15120,115
37,15360,840
38,16320,840
40,17280,840
38,18240,840
37,19200,840
38,20160,840
40,21120,840
45,22080,840
38,23040,115
38,23280,115
38,23640,115
36,23760,235
38,24000,115
34,24960,115
34,25200,115
36,25920,115
36,26160,115
38,26880,115
38,27120,115
38,27480,115
36,27600,235
38,27840,115
34,28800,115
34,29040,115
36,29760,115
36,30000,115
33,30240,115
36,30360,355
38,30720,115
38,30960,115
38,31080,115
38,31200,115
38,31560,115
38,31680,115
38,31920,115
38,32040,115
38,32160,115
38,32280,115
38,32400,115
38,32520,115
34,32640,115
34,32880,115
34,33000,115
46,33120,115
36,33600,115
36,33720,115
48,33840,115
36,33960,115
36,34080,115
36,34200,115
36,34320,115
36,34440,115
38,34560,115
38,34800,115
38,34920,115
38,35040,115
38,35400,115
38,35520,115
38,35760,115
38,35880,115
38,36000,115
38,36120,115
38,36240,115
38,36360,115
34,36480,115
34,36720,115
34,36840,115
46,36960,115
36,37440,115
36,37560,115
48,37680,115
36,37800,115
36,37920,115
36,38040,115
36,38160,115
36,38280,115
38,38400,115
38,38640,115
38,38760,115
38,38880,115
38,39240,115
38,39360,115
38,39600,115
38,39720,115
38,39840,115
38,39960,115
38,40080,115
38,40200,115
34,40320,115
34,40560,115
34,40680,115
46,40800,115
34,40920,115
34,41160,115
34,41400,115
46,41520,115
46,41760,115
46,42000,115
38,42240,115
38,42480,115
38,42600,115
38,42720,115
38,43080,115
38,43200,115
38,43440,115
38,43560,115
38,43680,115
38,43800,115
38,43920,115
38,44040,115
34,44160,115
34,44400,115
34,44520,115
46,44640,115
34,44760,115
34,45000,115
34,45240,115
46,45360,115
46,45600,115
46,45840,115
37,46080,840
38,47040,840
40,48000,840
38,48960,840
37,49920,840
38,50880,840
40,51840,840
45,52800,840
38,53760,115
38,54000,115
38,54360,115
36,54480,235
38,54720,115
34,55680,115
34,55920,115
36,56640,115
36,56880,115
38,57600,115
38,57840,115
38,58200,115
36,58320,235
38,58560,115
34,59520,115
34,59760,115
36,60480,115
36,60720,115
33,60960,115
36,61080,355
38,61440,115
38,61680,115
38,61800,115
38,61920,115
38,62280,115
38,62400,115
38,62640,115
38,62760,115
38,62880,115
38,63000,115
38,63120,115
38,63240,115
34,63360,115
34,63600,115
34,63720,115
46,63840,115
36,64320,115
36,64440,115
48,64560,115
36,64680,115
36,64800,115
36,64920,115
36,65040,115
36,65160,115
38,65280,115
38,65520,115
38,65640,115
38,65760,115
38,66120,115
38,66240,115
38,66480,115
38,66600,115
38,66720,115
38,66840,115
38,66960,115
38,67080,115
34,67200,115
34,67440,115
34,67560,115
46,67680,115
36,68160,115
36,68280,115
48,68400,115
36,68520,115
36,68640,115
36,68760,115
36,68880,115
36,69000,115
38,69120,115
38,69360,115
38,69480,115
38,69600,115
38,69960,115
38,70080,115
38,70320,115
38,70440,115
38,70560,115
38,70680,115
38,70800,115
38,70920,115
34,71040,115
34,71280,115
34,71400,115
46,71520,115
34,71640,115
34,71880,115
34,72120,115
46,72240,115
46,72480,115
46,72720,115
38,72960,115
38,73200,115
38,73320,115
38,73440,115
38,73800,115
38,73920,115
38,74160,115
38,74280,115
38,74400,115
38,74520,115
38,74640,115
38,74760,115
34,74880,115
34,75120,115
34,75240,115
46,75360,115
34,75480,115
34,75720,115
34,75960,115
46,76080,115
46,76320,115
46,76560,115
37,76800,840
38,77760,840
40,78720,840
38,79680,840
37,80640,840
38,81600,840
40,82560,840
45,83520,840
38,84480,115
38,84720,115
38,85080,115
36,85200,235
38,85440,115
34,86400,115
34,86640,115
36,87360,115
36,87600,115
38,88320,115
38,88560,115
38,88920,115
36,89040,235
38,89280,115
34,90240,115
34,90480,115
36,91200,115
36,91440,115
33,91680,115
36,91800,355
