|note,time,duration|
69,120,115
69,240,115
67,480,115
67,720,640
62,1440,235
62,1680,115
60,1800,115
60,1920,115
62,2040,355
58,2400,355
62,2760,235
60,3000,115
67,3120,835
69,3960,115
69,4080,115
67,4320,115
67,4560,640
62,5280,235
62,5520,115
60,5640,115
60,5760,115
62,5880,355
58,6240,355
62,6600,235
60,6840,115
67,6960,835
69,8040,80
74,8400,80
73,8760,80
74,8880,80
73,9000,80
72,9120,80
81,9720,80
81,9960,80
80,10080,80
80,10320,80
79,10440,80
81,10680,80
81,10920,80
80,11040,80
80,11280,80
79,11400,80
69,11880,80
74,12240,80
73,12600,80
74,12720,80
73,12840,80
72,12960,80
81,13560,80
81,13800,80
80,13920,80
80,14160,80
79,14280,80
81,14520,80
81,14760,80
80,14880,80
80,15120,80
79,15240,80
70,15480,355
73,15840,355
76,16200,115
74,16440,355
69,16800,355
65,17160,115
70,17400,355
73,17760,355
76,18120,115
74,18360,355
69,18720,115
70,19320,355
73,19680,355
76,20040,115
74,20280,355
69,20640,355
65,21000,115
70,21240,355
73,21600,355
76,21960,115
73,22200,355
76,22560,355
79,22920,115
81,23160,115
81,23280,115
69,23400,115
69,23520,1555
53,25080,115
53,25320,115
58,25560,115
62,25680,355
55,26040,115
55,26280,115
60,26520,115
64,26640,355
81,27000,115
81,27120,115
69,27240,115
69,27360,1555
53,28920,115
53,29160,115
58,29400,115
62,29520,355
55,29880,115
69,30840,115
69,30960,115
67,31200,115
67,31440,640
62,32160,235
62,32400,115
60,32520,115
60,32640,115
62,32760,355
58,33120,355
62,33480,235
60,33720,115
67,33840,835
69,34680,115
69,34800,115
67,35040,115
67,35280,640
62,36000,235
62,36240,115
60,36360,115
60,36480,115
62,36600,355
58,36960,355
62,37320,235
60,37560,115
67,37680,835
69,38760,80
74,39120,80
73,39480,80
74,39600,80
73,39720,80
72,39840,80
81,40440,80
81,40680,80
80,40800,80
80,41040,80
79,41160,80
81,41400,80
81,41640,80
80,41760,80
80,42000,80
79,42120,80
69,42600,80
74,42960,80
73,43320,80
74,43440,80
73,43560,80
72,43680,80
81,44280,80
81,44520,80
80,44640,80
80,44880,80
79,45000,80
81,45240,80
81,45480,80
80,45600,80
80,45840,80
79,45960,80
70,46200,355
73,46560,355
76,46920,115
74,47160,355
69,47520,355
65,47880,115
70,48120,355
73,48480,355
76,48840,115
74,49080,355
69,49440,115
70,50040,355
73,50400,355
76,50760,115
74,51000,355
69,51360,355
65,51720,115
70,51960,355
73,52320,355
76,52680,115
73,52920,355
76,53280,355
79,53640,115
81,53880,115
81,54000,115
69,54120,115
69,54240,1555
53,55800,115
53,56040,115
58,56280,115
62,56400,355
55,56760,115
55,57000,115
60,57240,115
64,57360,355
81,57720,115
81,57840,115
69,57960,115
69,58080,1555
53,59640,115
53,59880,115
58,60120,115
62,60240,355
55,60600,115
69,61560,115
69,61680,115
67,61920,115
67,62160,640
62,62880,235
62,63120,115
60,63240,115
60,63360,115
62,63480,355
58,63840,355
62,64200,235
60,64440,115
67,64560,835
69,65400,115
69,65520,115
67,65760,115
67,66000,640
62,66720,235
62,66960,115
60,67080,115
60,67200,115
62,67320,355
58,67680,355
62,68040,235
60,68280,115
67,68400,835
69,69480,80
74,69840,80
73,70200,80
74,70320,80
73,70440,80
72,70560,80
81,71160,80
81,71400,80
80,71520,80
80,71760,80
79,71880,80
81,72120,80
81,72360,80
80,72480,80
80,72720,80
79,72840,80
69,73320,80
74,73680,80
73,74040,80
74,74160,80
73,74280,80
72,74400,80
81,75000,80
81,75240,80
80,75360,80
80,75600,80
79,75720,80
81,75960,80
81,76200,80
80,76320,80
80,76560,80
79,76680,80
70,76920,355
73,77280,355
76,77640,115
74,77880,355
69,78240,355
65,78600,115
70,78840,355
73,79200,355
76,79560,115
74,79800,355
69,80160,115
70,80760,355
73,81120,355
76,81480,115
74,81720,355
69,82080,355
65,82440,115
70,82680,355
73,83040,355
76,83400,115
73,83640,355
76,84000,355
79,84360,115
81,84600,115
81,84720,115
69,84840,115
69,84960,1555
53,86520,115
53,86760,115
58,87000,115
62,87120,355
55,87480,115
55,87720,115
60,87960,115
64,88080,355
81,88440,115
81,88560,115
69,88680,115
69,88800,1555
53,90360,115
53,90600,115
58,90840,115
62,90960,355
55,91320,115
